product_id,name,brand,category,price,original_price,image_url,quantity,status,description,rating,reviews_count,sizes,color,gender,created_at,updated_at
SP2000,"Nike P-6000 SE ""LNY""Men's Shoes",Nike,Sneakers,3250000.0,,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/1cab6258-492f-42ea-a4da-4b7e1132762a/NIKE+P-6000.png",20,AVAILABLE,"Designed for lightweight cushioning and everyday lifestyle wear, it provides a retro look while ensuring modern durability and flexibility.",4.8,5,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Multi-Color,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2001,Nike Sportswear ClubMen's Oversized Striped Polo,Nike,Sneakers,1820000.0,2260000.0,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/1ee3bba4-d990-4e36-8920-4ffaed40af52/M+NK+CLUB+OS+STRIPE+POLO.png,115,AVAILABLE,"Featuring premium materials and signature Nike design details, this sneaker delivers excellent impact protection and unmatched comfort.",4.4,123,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Blue/White,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2002,Nike Solo SwooshMen's Fleece Open-Hem Pants,Nike,Clothing,3250000.0,3770000.0,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/23c0ee33-76ac-47b1-95b8-b8bfb7ae06ad/M+NL+SOLO+SWSH+BB+OH+PANT+GFX.png,92,AVAILABLE,"A historic Nike silhouette reimagined with a modern aesthetic, it showcases classic color-blocking that elevates any casual outfit.",4.2,102,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Red/White,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2003,Nike AirMen's Windrunner Track Jacket,Nike,Clothing,2990000.0,,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/582715ad-ea3b-4b68-9319-73aed45b1aca/M+NK+AIR+WR+TRK+JKT.png,58,AVAILABLE,"A historic Nike silhouette reimagined with a modern aesthetic, it showcases classic color-blocking that elevates any casual outfit.",4.8,112,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Volt/Black,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2004,Nike AirMen's Track Pants,Nike,Clothing,2730000.0,,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/c06468b1-cf02-49a4-8b5a-c8971c84e2cc/M+NK+AIR+PK+TRK+PANT.png,56,AVAILABLE,"Crafted with durable uppers and specialized traction, this Nike release blends legendary sportswear history with contemporary performance.",4.3,116,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Volt/Black,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2005,Nike Air Max Moto 2KMen's Shoes,Nike,Sneakers,3770000.0,,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/42ac5536-bd07-4e4c-8e8d-5dda5ece7e08/AIR+MAX+MOTO+2K.png",55,AVAILABLE,"A historic Nike silhouette reimagined with a modern aesthetic, it showcases classic color-blocking that elevates any casual outfit.",4.3,14,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Grey Castlerock,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2006,Nike Ava RoverShoes with Reflective Accents,Nike,Sneakers,3770000.0,,"https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/u_9ddf04c7-2a9a-4d76-add1-d15af8f0263d,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/4f2b1be4-5540-4dc9-8a32-5eb57d29f675/NIKE+AVA+ROVER.png",44,AVAILABLE,"Featuring premium materials and signature Nike design details, this sneaker delivers excellent impact protection and unmatched comfort.",4.6,111,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Black/White,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2007,Nike Culture of FootballMen's Dri-FIT Long-Sleeve Soccer Jersey,Nike,Sneakers,2470000.0,,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/573c17d3-e7a0-47e8-9929-cafe17ae970e/M+NK+DF+COF+JSY+LS+FR+SP26.png,111,AVAILABLE,"Engineered with a responsive midsole system and secure support, this Nike sneaker is a great choice for enthusiasts.",4.6,95,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Triple White,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2008,Nike TechMen's Dri-FIT Woven Pants,Nike,Clothing,3250000.0,3790000.0,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/2bdffe62-1baa-4cc5-8472-cadecbba19a4/M+NK+DF+TCH+WVN+PANT.png,104,AVAILABLE,"Crafted with durable uppers and specialized traction, this Nike release blends legendary sportswear history with contemporary performance.",4.4,5,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Sail/Navy,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
SP2009,Nike SportswearMen's Woven Jacket,Nike,Clothing,3250000.0,,https://static.nike.com/a/images/t_web_pw_592_v2/f_auto/9bc138ef-0512-4ba9-a309-bddc3c289254/M+NSW+AIR+MAX+95+WVN+JKT.png,44,AVAILABLE,"A historic Nike silhouette reimagined with a modern aesthetic, it showcases classic color-blocking that elevates any casual outfit.",4.5,78,"US 7, US 8, US 8.5, US 9, US 9.5, US 10, US 10.5, US 11, US 12",Triple Black,Men,2026-05-24 23:19:22,2026-05-24 23:19:22
